tweet,timestamp,url,tweet_id,processed_tweet,polarity,pos,neu,neg
"@stockx i tried to order something but it said that i wasnt able to buy, i clicked the link and verified it but it didn’t verify it, but it still charged my credit card, please help",2022-07-27 04:44:31+00:00,https://twitter.com/i/web/status/1552152933290098692,1552152933290098692,"tried order something said wasnt able buy, clicked link verified verify it, still charged credit card, please help",0.7003,1,0,0
"@theyeezymafia @noop_montana @stockx @StockXSneakers I am still waiting to see a yeezy that doesn't look like a marshmallow that desided to shape-shift into a shoe...lol
I think this is actually how they make them...lol https://t.co/PuejTil4zY",2022-07-27 04:41:10+00:00,https://twitter.com/i/web/status/1552152089140273152,1552152089140273152,still waiting see yeezy look like marshmallow desided shape-shift shoe...lol think actually make them...lol,0.3612,1,0,0
Super Hot Deal! Get it for only $1499.00! Compare: StockX ($1700.00) | Walmart ($1899.99) | eBay ($2250.00) https://t.co/ALTbUdh2vG,2022-07-27 04:39:03+00:00,https://twitter.com/i/web/status/1552151556685844480,1552151556685844480,super hot deal! get $1499.00! compare: stockx ($1700.00) | walmart ($1899.99) | ebay ($2250.00),0.6688,1,0,0
@MightySpxdey @sleezyqueers need to talk to a mans in stockx to resell the fake ones,2022-07-27 04:27:30+00:00,https://twitter.com/i/web/status/1552148649022464001,1552148649022464001,need talk mans stockx resell fake ones,-0.4767,0,0,1
@cookinbricks @stockx That’s crazy https://t.co/b4ZzDsflts,2022-07-27 04:08:08+00:00,https://twitter.com/i/web/status/1552143777938096128,1552143777938096128,crazy,-0.34,0,0,1
@Mae They just gonna resell on StockX or the GOAT app. Hate bots man 🤦🏾‍♂️,2022-07-27 04:05:14+00:00,https://twitter.com/i/web/status/1552143046548111360,1552143046548111360,just gonna resell stockx goat app. hate bots man 🤦🏾‍♂️,-0.5719,0,0,1
"@commaolivia @Nike @stockx i am honestly so upset! i just got home from kind of a crappy trip and i was like oh! i have a cozy new sweatshirt to cuddle up in, it came while i was gone! opened the package and...",2022-07-27 03:59:05+00:00,https://twitter.com/i/web/status/1552141499214704641,1552141499214704641,"honestly upset! just got home kind crappy trip like oh! cozy new sweatshirt cuddle in, came gone! opened package and...",0.5538,1,0,0
"@SpellLess u got sum dumb ppl recommending u, stockx is known for having bad legit checking system and let reps pass by easily. Goat is the go to place for sneakers imo",2022-07-27 03:58:55+00:00,https://twitter.com/i/web/status/1552141458865618944,1552141458865618944,"got sum dumb ppl recommending u, stockx known bad legit checking system let reps pass easily. goat go place sneakers imo",-0.6597,0,0,1
"PS5 restock today : When to expect the console to appear at Best Buy,    GameStop, Amazon, Walmart, StockX and Target . https://t.co/d82KhvHIFj",2022-07-27 03:55:02+00:00,https://twitter.com/i/web/status/1552140480418172928,1552140480418172928,"ps5 restock today : expect console appear best buy, gamestop, amazon, walmart, stockx target .",0.7096,1,0,0
@Alkapone47 @Dirtydetty9381 @hisexcellence79 @wassystyle1 @nikestore I bought them in my sleep. I fell asleep with StockX open on my chest and woke up with sneakers I can’t afford 😭 StockX didn’t give a shit and they made me buy them!,2022-07-27 03:53:16+00:00,https://twitter.com/i/web/status/1552140034966429697,1552140034966429697,bought sleep. fell asleep stockx open chest woke sneakers afford 😭 stockx give shit made buy them!,-0.7901,0,0,1
@thelionforreal @Nike @stockx Wtf this is ridiculous,2022-07-27 03:50:10+00:00,https://twitter.com/i/web/status/1552139256633720832,1552139256633720832,wtf ridiculous,-0.743,0,0,1
love to open my brand new sweatshirt and find it fully stained @Nike @stockx https://t.co/sIt267gvNv,2022-07-27 03:48:38+00:00,https://twitter.com/i/web/status/1552138871319670784,1552138871319670784,love open brand new sweatshirt find fully stained,0.6369,1,0,0
@cookinbricks @stockx Bruh 🤣,2022-07-27 03:47:20+00:00,https://twitter.com/i/web/status/1552138544352616448,1552138544352616448,bruh 🤣,0.4939,1,0,0
@JaysNBAfacts @stockx That sucks. Hit up customer support. They are good about responding. I have dealt with them many times,2022-07-27 03:44:17+00:00,https://twitter.com/i/web/status/1552137775264067584,1552137775264067584,sucks. hit customer support. good responding. dealt many times,0.4767,1,0,0
@SpellLess why'd u get from stockX??,2022-07-27 03:23:07+00:00,https://twitter.com/i/web/status/1552132447030153216,1552132447030153216,why'd get stockx??,0.0,0,1,0
"@stockx @stockx Hey stockX, if the Converse shoes are listed in unisex sizing, does that mean Men’s? ( Asking specifically about Converse Chuck Taylor All-Star 70 Hi in Dark Moss)",2022-07-27 03:17:48+00:00,https://twitter.com/i/web/status/1552131110775259137,1552131110775259137,"hey stockx, converse shoes listed unisex sizing, mean men's? asking specifically converse chuck taylor all-star 70 hi dark moss)",0.0,0,1,0
@HeyFranHey I just saw!! Clicked the first link I saw and the StockX logo came up. I could slide down the drain right now 😭,2022-07-27 03:16:56+00:00,https://twitter.com/i/web/status/1552130893501923333,1552130893501923333,just saw!! clicked first link saw stockx logo came up. slide drain right now 😭,-0.5696,0,0,1
